Year ,Crop,Practice,Country,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,Ini_SOC,End_SOC    ,dSOC       ,CO2e,CH4_CO2e,N2O_CO2e,GWP
4,Mango,Monocrop,Nicaragua,23293.42,20285.11,20288.06,20292.09,30443.96,113882.57,114602.64,720.07,-2640.256667,-48.53333333,4672.328571,1983.538571
5,Mango,Monocrop,Nicaragua,24166.49,20257.24,20261.42,20266.62,30407.41,114602.65,115359.17,756.52,-2773.906667,-44.05333333,5821.671429,3003.711429
6,Mango,Monocrop,Nicaragua,25089.18,20229.66,20235.1,20241.45,30371.29,115359.19,116166.66,807.48,-2960.76,-39.2,7320.814286,4320.854286
7,Mango,Monocrop,Nicaragua,25939.27,20202.37,20209.09,20216.57,30335.56,116166.67,116902.86,736.19,-2699.363333,-34.72,8924.064286,6189.980952
8,Mango,Monocrop,Nicaragua,26746.64,20175.36,20183.37,20191.96,30300.23,116902.87,117597.57,694.7,-2547.233333,-30.24,9906.835714,7329.362381
9,Mango,Monocrop,Nicaragua,27535.19,20148.62,20157.94,20167.63,30265.26,117597.58,118274.65,677.07,-2482.59,-25.76,10693.88571,8185.535714
10,Mango,Monocrop,Nicaragua,28320.18,20122.12,20132.79,20143.54,30230.66,118274.66,118949.3,674.64,-2473.68,-21.65333333,11505.92143,9010.588095
11,Mango,Monocrop,Nicaragua,29096.28,20095.88,20107.9,20119.7,30196.39,118949.3,119616.16,666.85,-2445.116667,-18.66666667,12272.15,9808.366667
12,Mango,Monocrop,Nicaragua,29838.82,20069.88,20083.27,20096.1,30162.45,119616.15,120250.52,634.37,-2326.023333,-17.92,12322.12143,9978.178095
13,Mango,Monocrop,Nicaragua,30545.58,20044.11,20058.88,20072.73,30128.84,120250.52,120850.14,599.63,-2198.643333,-17.92,12284.64286,10068.07952
14,Mango,Monocrop,Nicaragua,31225.88,20018.62,20034.73,20049.59,30095.52,120850.15,121424.34,574.2,-2105.4,-17.92,12334.61429,10211.29429
15,Mango,Monocrop,Nicaragua,31884.05,19993.38,20010.82,20026.66,30062.5,121424.34,121977.42,553.09,-2027.996667,-17.92,12392.91429,10346.99762
16,Mango,Monocrop,Nicaragua,32526.28,19968.38,19987.13,20003.93,30029.77,121977.41,122515.48,538.08,-1972.96,-17.92,12467.87143,10476.99143
17,Mango,Monocrop,Nicaragua,33154.38,19943.6,19963.65,19981.39,29997.31,122515.47,123040.33,524.86,-1924.486667,-17.92,12567.81429,10625.40762
18,Mango,Monocrop,Nicaragua,33772.86,19919.04,19940.37,19959.04,29965.13,123040.31,123556.42,516.11,-1892.403333,-18.29333333,12676.08571,10765.38905
19,Mango,Monocrop,Nicaragua,34381.83,19894.69,19917.27,19936.86,29933.2,123556.41,124063.85,507.44,-1860.613333,-18.29333333,12746.87857,10867.9719
20,Mango,Monocrop,Nicaragua,34984.67,19870.54,19894.35,19914.87,29901.52,124063.87,124565.96,502.09,-1840.996667,-18.29333333,12821.83571,10962.54571
